aqsid,param,dur,year,rows,source_file
480291610,44201,1,2025,48,TCEQ_Ozone_111325-010126_8sites.txt
480910503,44201,1,2025,279,TCEQ_Ozone_111325-010126_8sites.txt
480910505,44201,1,2025,207,TCEQ_Ozone_111325-010126_8sites.txt
481870504,44201,1,2025,185,TCEQ_Ozone_111325-010126_8sites.txt
481870506,44201,1,2025,157,TCEQ_Ozone_111325-010126_8sites.txt
480911088,81102,1,2019,2077,TCEQ_PM10TEOM_NewBraunfelsOakPkwy.txt
480911088,81102,1,2020,8529,TCEQ_PM10TEOM_NewBraunfelsOakPkwy.txt
480911088,81102,1,2021,8393,TCEQ_PM10TEOM_NewBraunfelsOakPkwy.txt
480911088,81102,1,2022,8726,TCEQ_PM10TEOM_NewBraunfelsOakPkwy.txt
480911088,81102,1,2023,8580,TCEQ_PM10TEOM_NewBraunfelsOakPkwy.txt
480911088,81102,1,2024,8311,TCEQ_PM10TEOM_NewBraunfelsOakPkwy.txt
480290622,88502,1,2016,8373,TCEQ_PM2.5TEOM_2016-2025.txt
480290622,88502,1,2017,8699,TCEQ_PM2.5TEOM_2016-2025.txt
480290622,88502,1,2018,2888,TCEQ_PM2.5TEOM_2016-2025.txt
480290622,88502,1,2019,8579,TCEQ_PM2.5TEOM_2016-2025.txt
480290622,88502,1,2020,8234,TCEQ_PM2.5TEOM_2016-2025.txt
480290622,88502,1,2021,4871,TCEQ_PM2.5TEOM_2016-2025.txt
480290622,88502,1,2022,6408,TCEQ_PM2.5TEOM_2016-2025.txt
480290622,88502,1,2023,7221,TCEQ_PM2.5TEOM_2016-2025.txt
480290622,88502,1,2024,8094,TCEQ_PM2.5TEOM_2016-2025.txt
480290622,88502,1,2025,8430,TCEQ_PM2.5TEOM_2016-2025.txt
480291091,88502,1,2020,5181,TCEQ_PM2.5TEOM_2016-2025.txt
480291091,88502,1,2021,8447,TCEQ_PM2.5TEOM_2016-2025.txt
480291091,88502,1,2022,8668,TCEQ_PM2.5TEOM_2016-2025.txt
480291091,88502,1,2023,8456,TCEQ_PM2.5TEOM_2016-2025.txt
